step,mloss,gloss,loss
100.0,2.4201,1.056,3.4761
200.0,1.9384,0.9943,2.9326999999999996
300.0,1.7061,0.951,2.6571
400.0,1.5535,0.8407,2.3942
500.0,1.4724,0.7167,2.1891
600.0,1.3961,0.6115,2.0076
700.0,1.3382,0.5598,1.8980000000000001
800.0,1.3276,0.551,1.8786
900.0,1.3063,0.5212,1.8275000000000001
1000.0,1.2842,0.501,1.7852000000000001
1100.0,1.2469,0.4758,1.7227
1200.0,1.2648,0.4679,1.7327
1300.0,1.21,0.4625,1.6724999999999999
1400.0,1.2229,0.4574,1.6803000000000001
1500.0,1.1908,0.4521,1.6429
1600.0,1.1943,0.4393,1.6336
1700.0,1.1976,0.4356,1.6332
1800.0,1.1786,0.4405,1.6191
1900.0,1.1896,0.426,1.6156
2000.0,1.1754,0.4223,1.5977000000000001
2100.0,1.1681,0.4198,1.5878999999999999
2200.0,1.1523,0.4042,1.5565000000000002
2300.0,1.1557,0.4038,1.5594999999999999
2400.0,1.1396,0.3949,1.5345
2500.0,1.1445,0.3986,1.5431000000000001
2600.0,1.149,0.3925,1.5415
2700.0,1.1312,0.3897,1.5209
2800.0,1.1348,0.3858,1.5206
2900.0,1.1292,0.3879,1.5171000000000001
3000.0,1.1216,0.3809,1.5025
3100.0,1.1192,0.3827,1.5019
3200.0,1.1091,0.3732,1.4823
3300.0,1.1237,0.3709,1.4946
3400.0,1.1298,0.362,1.4918
3500.0,1.1017,0.3701,1.4718
3600.0,1.1101,0.369,1.4791
3700.0,1.1123,0.3606,1.4729
3800.0,1.1084,0.3505,1.4589
3900.0,1.0928,0.3556,1.4484
4000.0,1.0889,0.3541,1.443
4100.0,1.0806,0.3508,1.4314
4200.0,1.0832,0.353,1.4362
4300.0,1.0948,0.3474,1.4422
4400.0,1.0891,0.3491,1.4382
4500.0,1.0899,0.3458,1.4357000000000002
4600.0,1.0943,0.3443,1.4386
4700.0,1.0951,0.3372,1.4323
4800.0,1.0786,0.3387,1.4173
4900.0,1.0737,0.3401,1.4138000000000002
5000.0,1.0564,0.3347,1.3911
5100.0,1.0846,0.3317,1.4163000000000001
5200.0,1.0632,0.3257,1.3889
5300.0,1.0637,0.3301,1.3938000000000001
5400.0,1.0648,0.3276,1.3923999999999999
5500.0,1.076,0.309,1.385
5600.0,1.0861,0.3238,1.4099
5700.0,1.0944,0.3229,1.4173
5800.0,1.0805,0.3243,1.4048
5900.0,1.073,0.3158,1.3888
6000.0,1.0841,0.3174,1.4015
6100.0,1.0674,0.3116,1.379
6200.0,1.0638,0.3087,1.3725
6300.0,1.0515,0.3041,1.3556000000000001
6400.0,1.0613,0.305,1.3662999999999998
6500.0,1.0459,0.3126,1.3585
6600.0,1.0495,0.3121,1.3616000000000001
6700.0,1.05,0.3054,1.3554
6800.0,1.0594,0.309,1.3683999999999998
6900.0,1.0391,0.3087,1.3477999999999999
7000.0,1.0621,0.3027,1.3648
7100.0,1.0532,0.31,1.3632
7200.0,1.0648,0.3005,1.3653
7300.0,1.0537,0.2983,1.352
7400.0,1.0637,0.2951,1.3588
7500.0,1.0306,0.2902,1.3208
7600.0,1.0495,0.2939,1.3434000000000001
7700.0,1.0569,0.2944,1.3513
7800.0,1.0563,0.2854,1.3417
7900.0,1.036,0.297,1.333
8000.0,1.0405,0.2902,1.3307
8100.0,1.0327,0.294,1.3267
8200.0,1.0392,0.2946,1.3337999999999999
8300.0,1.0573,0.2934,1.3506999999999998
8400.0,1.0458,0.2933,1.3391000000000002
8500.0,1.0343,0.2959,1.3302
8600.0,1.0342,0.2862,1.3204
8700.0,1.0368,0.2901,1.3269
8800.0,1.0422,0.2857,1.3279
8900.0,1.0498,0.2791,1.3289
9000.0,1.0419,0.2801,1.322
9100.0,1.0339,0.29,1.3239
9200.0,1.0477,0.289,1.3367
9300.0,1.0329,0.2832,1.3161
9400.0,1.0368,0.2859,1.3227
9500.0,1.0358,0.2847,1.3205
9600.0,1.0373,0.2748,1.3121
9700.0,1.0355,0.2813,1.3168000000000002
9800.0,1.0281,0.2817,1.3098
9900.0,1.0338,0.2892,1.323
10000.0,1.0364,0.2839,1.3203
10100.0,1.034,0.2704,1.3044
10200.0,1.0279,0.2751,1.303
10300.0,1.0161,0.2705,1.2866
10400.0,1.0245,0.2753,1.2997999999999998
10500.0,1.0213,0.2668,1.2881
10600.0,1.0314,0.2758,1.3072000000000001
10700.0,1.0244,0.274,1.2984
10800.0,1.0329,0.2705,1.3034
10900.0,1.0049,0.2702,1.2751
11000.0,1.0207,0.2761,1.2968
11100.0,1.0246,0.2717,1.2963
11200.0,1.0011,0.2716,1.2727000000000002
