step,mloss,gloss,loss,epsilon
100.0,3.2933,1.0056,4.2989,0.18785313345859422
200.0,3.1051,0.9927,4.0978,0.2654113204625955
300.0,3.0668,0.9977,4.064500000000001,0.3262459951848224
400.0,2.993,0.9998,3.9928,0.37828270374239265
500.0,2.9764,0.9994,3.9758,0.4246370535287709
600.0,2.9555,1.0106,3.9661,0.4669230270585916
700.0,2.931,1.0017,3.9327,0.5061065750847438
800.0,2.9349,0.9981,3.933,0.5428209177904696
900.0,2.9261,0.9948,3.9209,0.5775081292645272
1000.0,2.8977,0.9988,3.8965,0.6104915132565965
1100.0,2.8939,1.0012,3.8951000000000002,0.6420160715851339
1200.0,2.8948,0.9973,3.8921,0.6722728649005473
1300.0,2.879,1.0048,3.8838,0.7014142280603977
1400.0,2.8823,1.0009,3.8831999999999995,0.7295640883312768
1500.0,2.8745,0.9921,3.8666,0.756824812818481
1600.0,2.8817,1.0062,3.8879,0.7832821730817743
1700.0,2.8718,1.0036,3.8754,0.8090088852881778
1800.0,2.8876,1.0028,3.8903999999999996,0.8340672605225419
1900.0,2.8647,1.009,3.8737,0.8585111234751192
2000.0,2.8638,1.003,3.8667999999999996,0.8823874237093329
2100.0,2.8596,1.0041,3.8636999999999997,0.905737359990046
2200.0,2.8444,0.9973,3.8417,0.9285973577728108
2300.0,2.8581,0.9938,3.8518999999999997,0.9509997920417026
2400.0,2.8651,1.0004,3.8655,0.9729735771158144
