generator,seed,train_rows,val_rows,test_rows,positive_rate_train,tau_s2s,tau_s2r
ctabgan,0,63707,15427,15767,0.02468,0.164,0.236
ctabgan,1,63707,15427,15767,0.0555,-0.018,0.018
ctabgan,2,63707,15427,15767,0.03665,-0.018,0.2
ctabgan,3,63707,15427,15767,0.03343,0.382,0.091
ctabgan,4,63707,15427,15767,0.04257,0.164,0.236
ctabgan-plus,0,63707,15427,15767,0.0337,0.127,-0.382
ctabgan-plus,1,63707,15427,15767,0.03926,0.2,-0.127
ctabgan-plus,2,63707,15427,15767,0.03748,-0.309,0.273
ctabgan-plus,3,63707,15427,15767,0.0381,-0.018,-0.309
ctabgan-plus,4,63707,15427,15767,0.03865,-0.091,0.127
ctgan,0,63707,15427,15767,0.10041,0.236,-0.455
ctgan,1,63707,15427,15767,0.08117,0.673,-0.527
ctgan,2,63707,15427,15767,0.09721,-0.273,0.091
ctgan,3,63707,15427,15767,0.09588,0.236,0.2
ctgan,4,63707,15427,15767,0.09605,0.455,0.127
findiff,0,63707,15427,15767,0.01276,0.782,0.636
findiff,1,63707,15427,15767,0.01276,0.6,0.709
findiff,2,63707,15427,15767,0.01276,0.745,0.527
findiff,3,63707,15427,15767,0.01276,0.6,0.709
findiff,4,63707,15427,15767,0.01276,0.6,0.673
great,0,63706,15427,15761,0.0065,0.273,0.2
great,1,63682,15426,15766,0.00517,0.418,0.491
great,2,63698,15426,15766,0.01257,0.564,0.273
great,3,63707,15427,15767,0.00391,-0.055,0.382
great,4,63707,15427,15767,0.00386,0.309,0.564
smote,0,63141,15355,15695,0.01288,0.818,0.782
smote,1,63154,15331,15697,0.01287,0.709,0.673
smote,2,63150,15344,15710,0.01287,0.891,0.745
smote,3,63159,15354,15703,0.01287,0.855,0.782
smote,4,63124,15362,15695,0.01288,0.855,0.818
tabddpm,0,63707,15427,15767,0.01257,0.345,0.382
tabddpm,1,63705,15427,15767,0.01278,0.055,0.636
tabddpm,2,63705,15427,15767,0.01268,0.564,0.6
tabddpm,3,63707,15427,15767,0.01279,0.709,0.636
tabddpm,4,63692,15427,15767,0.01287,0.455,0.455
tabdiff,0,63707,15427,15767,0.01072,0.891,0.891
tabdiff,1,63707,15427,15767,0.00794,0.345,0.818
tabdiff,2,63707,15427,15767,0.00929,0.782,0.818
tabdiff,3,63707,15427,15767,0.01342,0.673,0.673
tabdiff,4,63707,15427,15767,0.01248,0.745,0.709
tabpfgen,0,63706,15426,15766,0.4579,0.455,0.818
tabpfgen,1,63706,15426,15766,0.40875,0.891,0.745
tabpfgen,2,63706,15426,15766,0.43131,0.636,0.709
tabpfgen,3,63706,15426,15766,0.43853,0.6,0.782
tabpfgen,4,63706,15426,15766,0.43602,0.745,0.709
tabpfgen-prior,0,70021,16998,18122,0.01277,0.455,0.745
tabpfgen-prior,1,76271,16797,17773,0.01276,0.927,0.709
tabpfgen-prior,2,73683,16857,18154,0.01276,0.2,0.782
tabpfgen-prior,3,72413,16993,18575,0.01276,0.491,0.709
tabpfgen-prior,4,72992,17308,17855,0.01275,0.6,0.636
tabsyn,0,63707,15427,15767,0.01174,0.709,0.745
tabsyn,1,63707,15427,15767,0.00994,0.673,0.782
tabsyn,2,63707,15427,15767,0.01135,0.891,0.855
tabsyn,3,63707,15427,15767,0.0105,0.527,0.891
tabsyn,4,63707,15427,15767,0.00934,0.782,0.818
tvae,0,63707,15427,15767,2e-05,0.37,0.277
tvae,1,63707,15427,15767,2e-05,0.37,0.469
tvae,2,63707,15427,15767,2e-05,0.078,-0.02
tvae,3,63707,15427,15767,2e-05,0.462,0.289
tvae,4,63707,15427,15767,2e-05,0.509,0.221
